BORROWINGID;READERID;BOOKID;BORROWINGDATE;RETURNDATE
1000;1000;1022;05-11-2020;--
1001;1001;1018;05-11-2020;--
1002;1002;1022;05-11-2020;--
1003;1002;1018;05-11-2020;--
1004;1003;1022;05-11-2020;--
1005;1004;1018;05-11-2020;07-11-2020
1006;1005;1002;05-11-2020;--
1007;1006;1008;05-11-2020;--
1008;1007;1024;06-11-2020;--
1009;1008;1038;07-11-2020;07-11-2020
1010;1009;1004;07-11-2020;07-11-2020
1011;1010;1044;07-11-2020;07-11-2020
1012;1010;1029;07-11-2020;--
1013;1011;1033;07-11-2020;--
1014;1012;1021;07-11-2020;--
1015;1013;1001;07-11-2020;--
1016;1014;1002;07-11-2020;--
1017;1014;1007;07-11-2020;--
1018;1015;1020;07-11-2020;--
1019;1015;1025;07-11-2020;--
1020;1015;1033;07-11-2020;--
